ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card
255253,15,Vitinha,M,89,72,80,86,90,75,70,75,69,81,80,77,84,62,88,78,90,69,90,89,81,91,91,89,88,88,88,85,52,74,79,69,66,87,59,77,CM,3,4,Right,"172cm / 5'8""",64kg / 141lb,"['CDM', 'CAM']",26,Portugal,Ligue 1 McDonald's,Paris SG,"['Technical+', 'Finesse Shot', 'Incisive Pass', 'Intercept', 'Long Ball Pass', 'Relentless', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vitinha/255253,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/255253_en.webp
230621,18,Gianluigi Donnarumma,M,89,90,83,70,90,52,87,50,55,14,12,53,18,8,24,12,60,14,36,34,12,28,57,38,87,30,54,26,12,21,14,16,73,41,75,30,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,,27,Italy,Premier League,Manchester City,"['Deflector+', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluigi-donnarumma/230621,90,83,70,87,90,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230621_en.webp
251854,19,Pedri,M,89,77,73,85,91,78,77,79,76,86,77,68,76,56,53,76,91,62,90,88,79,91,89,92,87,91,90,87,50,74,85,79,72,90,73,72,CM,4,4,Right,"174cm / 5'9""",60kg / 132lb,"['CDM', 'CAM']",23,Spain,LALIGA EA SPORTS,FC Barcelona,"['First Touch+', 'Incisive Pass', 'Long Ball Pass', 'Relentless', 'Technical', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pedri/251854,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251854_en.webp
212622,20,Joshua Kimmich,M,89,72,74,89,84,83,79,75,70,78,68,78,83,69,71,92,86,79,89,92,85,82,83,84,89,86,86,85,72,82,86,85,77,92,69,89,CDM,4,3,Right,"177cm / 5'10""",75kg / 165lb,"['RB', 'CM']",31,Germany,Bundesliga,FC Bayern München,"['Long Ball Pass+', 'Anticipate', 'Finesse Shot', 'Press Proven', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joshua-kimmich/212622,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212622_en.webp
212831,22,Alisson,M,89,86,85,86,89,56,90,60,49,13,13,65,14,20,23,17,66,18,60,58,19,27,40,37,87,42,66,11,29,15,19,16,82,32,78,27,GK,3,1,Right,"193cm / 6'4""",91kg / 201lb,,33,Brazil,Premier League,Liverpool,"['Rush Out+', 'Deflector', 'Far Throw']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alisson/212831,86,85,86,90,89,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212831_en.webp
202126,23,Harry Kane,M,89,64,92,83,82,48,82,62,66,94,93,91,89,89,95,80,86,69,86,79,82,80,67,72,94,87,92,42,90,46,44,38,87,76,86,80,ST,4,3,Right,"188cm / 6'2""",86kg / 190lb,,32,England,Bundesliga,FC Bayern München,"['Finesse Shot+', 'First Touch', 'Gamechanger', 'Long Ball Pass', 'Low Driven Shot', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/harry-kane/202126,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/202126_en.webp
239053,24,Federico Valverde,M,89,88,84,84,84,83,85,84,92,86,80,91,91,78,59,78,86,69,88,88,76,84,77,68,89,88,84,86,63,82,87,86,82,93,82,81,CM,4,3,Right,"182cm / 6'0""",74kg / 163lb,"['CDM', 'RB']",27,Uruguay,LALIGA EA SPORTS,Real Madrid,"['Relentless+', 'Aerial Fortress', 'Intercept', 'Long Ball Pass', 'Power Shot', 'Rapid', 'Slide Tackle']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-valverde/239053,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239053_en.webp
238794,26,Vini Jr.,M,89,95,84,81,91,29,69,95,95,86,88,81,83,73,74,81,85,62,83,77,79,93,94,84,85,90,83,26,50,32,25,18,74,84,65,58,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,"['ST', 'LM']",25,Brazil,LALIGA EA SPORTS,Real Madrid,"['Quick Step+', 'Chip Shot', 'Finesse Shot', 'First Touch', 'Gamechanger', 'Inventive', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vini-jr/238794,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238794_en.webp
256630,27,Florian Wirtz,M,89,80,82,88,90,54,67,82,79,85,84,78,84,81,66,87,91,74,91,87,83,90,88,87,88,92,86,55,43,64,49,44,65,87,59,63,CAM,4,4,Right,"177cm / 5'10""",71kg / 157lb,"['ST', 'CM']",22,Germany,Premier League,Liverpool,"['Incisive Pass+', 'Chip Shot', 'Finesse Shot', 'First Touch', 'Inventive', 'Low Driven Shot', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florian-wirtz/256630,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256630_en.webp
192119,28,Thibaut Courtois,M,89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,14,44,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,GK,3,1,Left,"200cm / 6'7""",96kg / 212lb,,33,Belgium,LALIGA EA SPORTS,Real Madrid,"['Cross Claimer+', 'Far Throw', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119,85,89,76,88,90,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192119_en.webp
188545,30,Robert Lewandowski,M,88,74,89,79,85,44,84,73,74,90,92,89,82,86,90,76,81,84,84,70,79,84,77,83,89,88,87,49,87,35,42,19,91,76,89,81,ST,4,4,Right,"185cm / 6'1""",81kg / 179lb,,37,Poland,LALIGA EA SPORTS,FC Barcelona,"['Chip Shot+', 'Finesse Shot', 'First Touch', 'Incisive Pass', 'Low Driven Shot', 'Power Shot', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/188545_en.webp
231478,34,Lautaro Martínez,M,88,81,88,75,84,51,83,83,80,93,93,87,80,92,74,68,79,65,78,72,84,81,88,87,92,84,88,48,86,45,50,45,91,86,80,87,ST,4,4,Right,"174cm / 5'9""",72kg / 159lb,,28,Argentina,Serie A Enilive,Lombardia FC,"['Gamechanger+', 'Enforcer', 'Incisive Pass', 'Power Shot', 'Precision Header', 'Relentless', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lautaro-martinez/231478,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231478_en.webp
233731,35,Alexander Isak,M,88,83,89,73,85,39,76,86,80,89,91,91,83,81,86,68,80,64,79,60,75,88,73,69,87,87,88,38,82,35,34,29,90,82,79,58,ST,4,4,Right,"192cm / 6'4""",77kg / 170lb,,26,Sweden,Premier League,Liverpool,"['Finesse Shot+', 'First Touch', 'Gamechanger', 'Low Driven Shot', 'Power Shot', 'Rapid']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-isak/233731,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233731_en.webp
256790,37,Jamal Musiala,M,88,80,82,80,90,66,65,85,75,88,86,80,82,75,61,70,84,59,87,79,75,94,94,93,89,85,83,65,75,64,66,61,80,73,61,59,CAM,4,5,Right,"184cm / 6'0""",72kg / 159lb,"['LM', 'CM', 'ST']",23,Germany,Bundesliga,FC Bayern München,"['Technical+', 'Gamechanger', 'Incisive Pass', 'Inventive', 'Low Driven Shot', 'Precision Header', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jamal-musiala/256790,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256790_en.webp
232580,38,Gabriel,M,88,64,44,64,65,88,84,61,67,52,37,62,39,33,51,42,63,31,79,76,57,64,51,37,88,71,79,87,90,89,88,87,88,71,89,86,CB,2,2,Left,"190cm / 6'3""",87kg / 192lb,,28,Brazil,Premier League,Arsenal,"['Bruiser+', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel/232580,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232580_en.webp
246669,41,Bukayo Saka,M,88,84,82,85,88,60,73,87,81,86,84,79,81,79,87,90,86,74,85,77,88,89,85,88,88,88,82,62,49,60,62,60,72,86,68,68,RW,4,3,Left,"178cm / 5'10""",65kg / 143lb,['RM'],24,England,Premier League,Arsenal,"['Whipped Pass+', 'Finesse Shot', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bukayo-saka/246669,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246669_en.webp
200389,43,Jan Oblak,M,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,13,67,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,GK,3,1,Right,"188cm / 6'2""",87kg / 192lb,,33,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,"['Cross Claimer+', 'Far Reach', 'Far Throw']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389,85,90,78,86,87,https://ratings-images-prod.pulse.ea.com/FC26/components/items/200389_en.webp
257534,44,Cole Palmer,M,87,75,83,87,87,50,65,76,75,87,82,85,85,70,90,85,89,81,87,86,86,87,80,78,88,89,89,50,60,50,50,40,71,83,60,55,CAM,3,4,Left,"185cm / 6'1""",76kg / 168lb,"['RM', 'ST']",23,England,Premier League,Chelsea,"['Inventive+', 'Finesse Shot', 'First Touch', 'Gamechanger', 'Incisive Pass', 'Low Driven Shot', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cole-palmer/257534,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257534_en.webp
247635,45,Khvicha Kvaratskhelia,M,87,86,80,83,88,58,78,85,86,87,81,78,86,64,70,79,85,74,87,78,86,89,86,84,84,88,84,58,62,53,62,52,87,83,76,73,LW,5,5,Right,"183cm / 6'0""",70kg / 154lb,"['RW', 'LM']",25,Georgia,Ligue 1 McDonald's,Paris SG,"['Inventive+', 'Finesse Shot', 'Gamechanger', 'Incisive Pass', 'Technical', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khvicha-kvaratskhelia/247635,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247635_en.webp
237383,47,Alessandro Bastoni,M,87,74,46,75,76,88,82,71,77,39,39,59,48,44,50,72,72,41,82,84,64,74,64,60,89,82,85,88,86,87,90,84,88,81,81,83,CB,2,2,Left,"190cm / 6'3""",75kg / 165lb,,26,Italy,Serie A Enilive,Lombardia FC,"['Block', 'Long Ball Pass', 'Pinged Pass', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessandro-bastoni/237383,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237383_en.webp
215441,50,Serhou Guirassy,M,87,72,88,76,83,45,83,74,71,90,90,91,82,87,83,65,79,67,83,72,76,83,76,77,86,86,88,33,88,42,44,36,90,84,85,76,ST,4,3,Right,"187cm / 6'2""",82kg / 181lb,,30,Guinea,Bundesliga,Borussia Dortmund,"['Finesse Shot+', 'Acrobatic', 'Chip Shot', 'First Touch', 'Low Driven Shot', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/serhou-guirassy/215441,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215441_en.webp
192985,51,Kevin De Bruyne,M,87,66,83,92,84,65,72,65,66,81,78,90,87,81,83,93,92,83,92,93,93,85,68,66,89,89,87,65,55,65,70,55,70,66,74,73,CM,5,4,Right,"181cm / 5'11""",75kg / 165lb,['CAM'],34,Belgium,Serie A Enilive,SSC Napoli,"['Whipped Pass+', 'Dead Ball', 'Incisive Pass', 'Inventive', 'Pinged Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-de-bruyne/192985,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192985_en.webp
228702,52,Frenkie de Jong,M,87,82,71,85,87,78,77,80,83,78,75,68,69,70,53,78,88,64,90,87,84,86,87,79,87,88,90,82,72,76,78,77,82,87,73,74,CM,3,4,Right,"181cm / 5'11""",74kg / 163lb,['CDM'],28,Holland,LALIGA EA SPORTS,FC Barcelona,"['Tiki Taka+', 'Incisive Pass', 'Inventive', 'Press Proven']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frenkie-de-jong/228702,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/228702_en.webp
256079,54,Moisés Caicedo,M,87,71,64,78,81,84,82,76,66,63,57,75,72,60,55,65,79,55,85,84,73,79,80,79,84,83,83,87,70,83,86,87,80,90,77,85,CDM,3,3,Right,"178cm / 5'10""",73kg / 161lb,['CM'],24,Ecuador,Premier League,Chelsea,"['Slide Tackle+', 'Anticipate', 'Intercept', 'Pinged Pass', 'Press Proven', 'Relentless', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/moises-caicedo/256079,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256079_en.webp
234378,55,Declan Rice,M,87,72,73,84,80,83,83,71,73,77,64,87,83,50,71,88,79,75,86,86,86,82,63,65,85,84,86,86,72,81,86,85,80,92,78,85,CDM,3,3,Right,"185cm / 6'1""",80kg / 176lb,['CM'],27,England,Premier League,Arsenal,"['Aerial Fortress', 'Block', 'Dead Ball', 'Intercept', 'Press Proven', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/declan-rice/234378,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234378_en.webp
207865,57,Marquinhos,M,87,78,56,75,74,89,80,75,80,70,59,65,45,35,52,68,76,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,79,79,81,CB,3,3,Right,"183cm / 6'0""",75kg / 165lb,,31,Brazil,Ligue 1 McDonald's,Paris SG,"['Intercept+', 'Aerial Fortress', 'Anticipate', 'Jockey']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/207865_en.webp
177683,58,Yann Sommer,M,87,83,82,85,89,50,87,48,54,15,13,64,12,8,24,13,64,13,46,38,12,22,57,58,83,30,54,21,10,9,20,14,68,45,68,38,GK,4,1,Right,"183cm / 6'0""",77kg / 170lb,,37,Switzerland,Serie A Enilive,Lombardia FC,['Far Reach+'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-sommer/177683,83,82,85,87,89,https://ratings-images-prod.pulse.ea.com/FC26/components/items/177683_en.webp
241486,62,Jules Koundé,M,87,84,47,74,79,86,84,85,83,69,47,48,45,32,43,78,70,26,82,75,64,78,70,78,86,81,82,86,80,87,86,84,91,87,85,78,RB,3,3,Right,"180cm / 5'11""",75kg / 165lb,"['CB', 'RM']",27,France,LALIGA EA SPORTS,FC Barcelona,"['Jockey+', 'Aerial Fortress', 'Long Ball Pass', 'Quick Step', 'Relentless', 'Slide Tackle']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jules-kounde/241486,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241486_en.webp
212198,63,Bruno Fernandes,M,87,67,83,89,83,65,75,68,66,86,80,86,85,87,91,85,92,85,90,90,85,82,78,73,90,87,85,63,63,62,71,66,69,95,61,84,CAM,4,4,Right,"179cm / 5'10""",69kg / 152lb,['CM'],31,Portugal,Premier League,Man Utd,"['Relentless+', 'Dead Ball', 'Gamechanger', 'Incisive Pass', 'Inventive', 'Long Ball Pass', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212198_en.webp
243715,64,William Saliba,M,87,77,39,68,72,87,83,76,78,54,35,60,23,34,47,58,62,35,80,77,55,74,53,46,86,77,82,86,80,88,90,86,89,72,88,83,CB,3,2,Right,"193cm / 6'4""",85kg / 187lb,,25,France,Premier League,Arsenal,"['Anticipate+', 'Jockey', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/william-saliba/243715,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243715_en.webp
246191,66,Julián Alvarez,M,87,85,87,81,87,57,79,86,85,88,88,88,86,84,78,77,83,80,83,78,87,87,87,87,88,88,86,52,78,60,55,46,86,85,72,86,ST,4,4,Right,"170cm / 5'7""",71kg / 157lb,,26,Argentina,LALIGA EA SPORTS,Atlético de Madrid,"['Press Proven+', 'Finesse Shot']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/julian-alvarez/246191,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246191_en.webp
213331,67,Jonathan Tah,M,87,63,38,60,63,87,86,53,71,36,32,60,26,53,38,39,57,27,78,68,37,60,49,40,85,70,79,84,87,88,89,84,85,76,91,86,CB,3,2,Right,"195cm / 6'5""",94kg / 207lb,,30,Germany,Bundesliga,FC Bayern München,"['Anticipate+', 'Aerial Fortress', 'Precision Header']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jonathan-tah/213331,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/213331_en.webp
239837,68,Alexis Mac Allister,M,87,66,82,85,85,78,76,68,64,78,79,88,85,77,86,79,86,82,88,87,83,84,82,86,89,86,86,80,65,78,83,74,72,87,69,83,CM,3,3,Right,"176cm / 5'9""",72kg / 159lb,['CDM'],27,Argentina,Premier League,Liverpool,"['Pinged Pass+', 'Block', 'Dead Ball', 'Gamechanger', 'Power Shot', 'Press Proven']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexis-mac-allister/239837,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239837_en.webp
215698,70,Mike Maignan,M,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,18,65,16,64,61,38,30,60,56,85,40,68,25,17,23,18,20,82,39,83,35,GK,4,1,Right,"191cm / 6'3""",89kg / 196lb,,30,France,Serie A Enilive,Milano FC,"['Far Throw+', 'Deflector', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698,84,83,85,84,88,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215698_en.webp
222665,72,Martin Ødegaard,M,87,68,79,88,87,67,65,68,68,78,79,82,80,79,68,86,90,82,90,88,84,87,85,83,88,88,87,69,55,68,72,57,63,88,55,64,CM,2,5,Left,"178cm / 5'10""",68kg / 150lb,['CAM'],27,Norway,Premier League,Arsenal,"['Incisive Pass+', 'First Touch', 'Inventive', 'Pinged Pass', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-degaard/222665,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/222665_en.webp
220901,74,David Raya,M,87,86,84,87,87,62,85,64,59,15,19,65,14,20,26,12,68,15,62,67,18,19,68,45,84,43,68,11,20,28,14,13,64,31,38,29,GK,3,1,Right,"183cm / 6'0""",75kg / 165lb,,30,Spain,Premier League,Arsenal,"['Cross Claimer+', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-raya/220901,86,84,87,85,87,https://ratings-images-prod.pulse.ea.com/FC26/components/items/220901_en.webp
241651,75,Viktor Gyökeres,M,87,90,86,73,81,36,91,88,92,88,88,88,80,77,88,72,79,71,78,58,72,80,82,72,87,83,85,28,81,34,34,16,95,93,91,87,ST,4,3,Right,"189cm / 6'2""",94kg / 207lb,,27,Sweden,Premier League,Arsenal,"['Enforcer+', 'Acrobatic', 'Finesse Shot', 'Low Driven Shot', 'Power Shot', 'Press Proven', 'Quick Step']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/viktor-gyokeres/241651,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241651_en.webp
224232,77,Nicolò Barella,M,87,80,78,84,86,81,76,82,78,84,77,80,79,80,73,79,85,67,89,87,79,84,91,88,91,87,88,85,60,80,85,80,75,89,66,87,CM,4,3,Right,"175cm / 5'9""",68kg / 150lb,,29,Italy,Serie A Enilive,Lombardia FC,"['Relentless+', 'Incisive Pass', 'Intercept', 'Jockey', 'Long Ball Pass', 'Pinged Pass', 'Press Proven']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-barella/224232,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/224232_en.webp
